Breed ,Dog_Size,Dog_Breed_Group,Height,Avg_Height,Weight,Avg_Weight,Avg_weight_kg,Life_Span,Avg_Life_Span,Adaptability,Apartment_Living,Novice_Owners,Sensitivity,Tolerates_Being_Alone,Cold_Weather,Hot_Weather,Overall_Friendliness,Affectionate_Family,Kid_Friendly,Dog_Friendly,Friendly_To_Strangers,Health_Grooming_Needs,Shedding,Drooling,Easy_To_Groom,Health,Weight_Gain,Size,Trainability,Easy_To_Train,Intelligence,Mouthiness,Prey_Drive,Bark_Tendency,Wanderlust,Physical_Needs,Energy_Level,Intensity,Exercise,Playfulness,Image
Border Sheepdog,Large,Mixed Breed Dogs,16 to 22 inches,48.26,25 to 45 pounds,35,15.75,12 to 15 years,14,2.6,2,3,2,2,4,2,4,5,4,3,3,2.6,3,1,3,4,2,3,4,4,5,4,3,4,2,4.33,5,3,5,4,https://www.dogtime.com/assets/uploads/2019/11/border-sheepdog-mixed-dog-breed-pictures-cover-650x368.jpg
Border Terrier,Medium,Terrier Dogs,10 to 11 inches tall at the shoulder,26.67,11 to 15 pounds,13,5.85,12 to 15 years,14,3,4,3,3,1,4,3,3.67,5,4,2,5,3,3,1,2,4,5,2,3.8,3,5,5,5,1,4,4.33,4,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23058_border-terrier-300x189.jpg
Bordoodle,Very Large,Mixed Breed Dogs,12 to 22 inches,43.18,30 to 60 pounds,45,20.25,12 to 15 years,14,3.6,4,4,3,3,4,4,4,4,5,3,2,3,2,2,4,4,3,3,3.2,4,5,3,2,2,3,2.67,3,2,3,4,https://www.dogtime.com/assets/uploads/2019/09/bordoodle-mixed-dog-breed-pictures-cover-650x368.jpg
Borzoi,Very Large,Hound Dogs,26 to 32 inches tall at the shoulder,73.66,55 to 105 pounds,79,36,10 to 12 years,11,3.6,5,3,5,1,4,3,3.67,4,3,4,4,3.2,5,1,4,4,2,5,3.4,3,4,3,5,2,4,2,2,2,2,3,https://www.dogtime.com/assets/uploads/2011/01/file_23018_borzoi-300x189.jpg
BoShih,Medium,Mixed Breed Dogs,12 to 15 inches ,34.29,10 to 20 pounds,15,6.75,12 to 15 years ,14,3,5,4,3,1,2,2,3,4,2,3,4,2.8,2,1,5,3,3,2,1.8,2,3,1,1,2,2,2.67,3,2,3,5,https://www.dogtime.com/assets/uploads/2019/12/boshih-mixed-dog-breed-pictures-cover-650x368.jpg
Bossie,Large,Mixed Breed Dogs,15 to 23 inches,48.26,25 to 40 pounds,32,14.62,12 to 15 years ,14,3,2,2,3,5,3,3,4,4,4,4,4,2.4,2,1,3,3,3,3,3.4,4,4,3,3,3,5,4.33,4,4,5,5,https://www.dogtime.com/assets/uploads/2019/11/bossie-mixed-dog-breed-pictures-cover-650x368.jpg
Boston Boxer,Large,Mixed Breed Dogs,15 to 23 inches,48.26,22 to 55 pounds,38,17.32,12 to 15 years,14,3,4,3,3,2,3,3,4,4,4,4,2,3.6,3,3,4,4,4,3,3.2,3,4,3,3,3,2,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2020/01/boston-boxer-mixed-dog-breed-pictures-cover-650x368.jpg
Boston Terrier,Medium,Companion Dogs,12 to 15 inches tall at the shoulder,34.29,10 to 25 pounds,17,7.88,13 to 15 years,14,4,5,4,5,3,3,2,4.67,4,5,5,4,3,2,1,5,4,3,2,3,4,4,2,2,3,5,4.33,4,5,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23138_boston-terrier-300x189.jpg
Boston Terrier Pekingese Mix,Medium,Mixed Breed Dogs,10 to 15 inches,31.75,10 to 25 pounds,17,7.88,10 to 15 years,12,2.8,4,3,3,2,2,2,3.67,4,4,3,3,3.2,2,2,4,4,4,1,3,2,4,3,2,4,2,3,3,3,3,4,https://www.dogtime.com/assets/uploads/2020/05/Boston-Terrier-Pekingese-Mixed-dog-breed-pictures-cover-650x368.jpg
Bouvier des Flandres,Very Large,Herding Dogs,23 to 26 inches tall at the shoulder,62.23,70 to 100 pounds,84,38.25,10 to 12 years,11,3,3,2,4,2,4,2,4,5,5,2,2,2.2,1,1,2,3,4,4,3.4,5,4,2,2,4,2,4.33,4,5,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23180_bouvier-des-flandres-300x189.jpg
Boxador,Very Large,Mixed Breed Dogs,23 to 25 inches,60.96,50 to 110 pounds,79,36,12 to 15 years,14,2,2,2,3,1,2,2,4.33,5,4,4,4,3.4,4,2,5,2,4,4,3.6,5,5,3,2,3,3,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2019/08/boxador-mixed-dog-breed-pictures-cover-650x368.jpg
Boxer,Very Large,Working Dogs,21 to 25 inches at the shoulder,58.42,60 to 70 pounds,64,29.25,10 to 12 years,11,2.8,4,3,4,1,2,1,4,5,4,3,4,3.4,4,2,5,2,4,3,3.2,4,4,2,3,3,3,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22916_boxer-300x189.jpg
Boxerdoodle,Large,Mixed Breed Dogs,10 to 25 inches,44.45,12 to 70 pounds,41,18.45,10 to 12 years,11,2.4,1,3,3,2,3,3,3.67,4,3,4,3,2.8,2,2,3,3,4,3,3,4,4,2,3,2,4,4,4,4,4,5,https://www.dogtime.com/assets/uploads/2019/09/boxerdoodle-mixed-dog-breed-pictures-cover-650x368.jpg
Boxmatian,Very Large,Mixed Breed Dogs,19 to 25 inches,55.88,50 to 90 pounds,69,31.5,10 to 13 years,12,2,1,2,3,2,2,4,3,4,3,2,1,3.4,3,2,3,5,4,5,3.4,3,4,4,3,3,4,4.67,5,4,5,4,https://www.dogtime.com/assets/uploads/2019/09/boxmatian-mixed-dog-breed-pictures-cover-650x368.jpg
Boxweiler,Very Large,Mixed Breed Dogs,21 to 27 inches,60.96,70 to 100 pounds,84,38.25,8 to 13 years,10,2.8,2,3,4,2,3,2,4.33,5,4,4,2,3,3,2,3,3,4,4,3,4,4,2,2,3,1,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/12/boxweiler-mixed-dog-breed-pictures-cover-650x368.jpg
Boykin Spaniel,Large,Sporting Dogs,14 to 18 inches tall at the shoulder,40.64,25 to 40 pounds,32,14.62,10 to 12 years,11,2.8,1,3,4,3,3,4,4.67,5,5,4,3,2.4,4,1,1,2,4,3,3.4,4,4,4,2,3,4,5,5,5,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23242_boykin-spaniel-300x189.jpg
Bracco Italiano,Very Large,Sporting Dogs,22 to 26 inches,60.96,55 to 90 pounds,72,32.62,10 to 14 years,12,2.6,1,2,4,3,3,3,4.67,5,4,5,3,3,3,2,5,2,3,4,3.2,3,4,2,5,2,3,4.33,4,4,5,4,https://www.dogtime.com/assets/uploads/2019/11/Bracco-Italiano-dog-breed-pictures-cover-650x368.jpg
Braque du Bourbonnais,Very Large,Working Dogs,18 to 23 inches.,52.07,35 to 55 pounds.,45,20.25,12 to 15 years. ,14,2.2,1,3,3,2,2,3,4.33,5,4,4,4,2.4,2,1,4,4,1,3,3.6,4,4,3,4,3,2,4,5,2,5,3,https://www.dogtime.com/assets/uploads/2019/09/Braque-du-Bourbonnais-dog-breed-pictures-cover-650x368.jpg
Briard,Very Large,Herding Dogs,22 to 27 inches tall at the shoulder,62.23,70 to 100 pounds,84,38.25,10 to 12 years,11,3.4,3,3,4,3,4,3,4.67,4,5,5,2,1.8,1,1,1,3,3,4,3.4,4,4,2,3,4,5,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23182_briard-300x189.jpg
Brittany,Large,Sporting Dogs,17 inches to 20 inches tall at the shoulder,46.99,30 to 40 pounds,35,15.75,10 to 13 years,12,2.8,1,3,5,1,4,3,5,5,5,5,4,3.6,3,5,3,4,3,3,3.8,3,5,3,5,3,4,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22956_brittany-300x189.jpg
Broholmer,Very Large,Companion Dogs,22 to 30 inches.,66.04,90 to 150 pounds. ,119,54,8 to 12 years. ,10,3,2,4,3,3,3,3,4,5,4,3,3,3.2,3,2,4,4,3,5,3.2,4,4,3,2,3,2,3,3,3,3,3,https://www.dogtime.com/assets/uploads/2019/09/Broholmer-dog-breed-pictures-cover-650x368.jpg
Brussels Griffon,Small,Companion Dogs,7 to 8 inches tall at the shoulder,19.05,7 to 12 pounds,9,4.28,12 to 15 years,14,2.8,5,2,5,1,1,2,4.33,5,4,4,3,3,3,3,3,3,3,1,3,3,4,3,1,4,5,4,5,3,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23098_brussels-griffon-300x189.jpg
Bugg,Medium,Mixed Breed Dogs,14 to 18 inches,40.64,10 to 25 pounds,17,7.88,10 to 15 years,12,3.2,5,4,3,2,2,3,3,4,3,2,3,3.2,2,2,4,4,4,2,3.6,3,4,4,3,4,2,3,4,3,2,4,https://www.dogtime.com/assets/uploads/2019/12/bugg-mixed-dog-breed-pictures-cover-650x368.jpg
Bull Arab,Very Large,Hybrid Dogs,24 to 27 inches,64.77,60 to 95 pounds,77,34.88,12 to 15 years,14,2.4,2,1,2,3,4,4,2.33,3,3,1,2,3,2,2,4,4,3,4,3.2,2,4,3,5,2,4,4.33,4,5,4,2,https://www.dogtime.com/assets/uploads/2020/10/breeds-not-recognized-kennel-clubs-3-650x368.jpg
Bull-Pei,Very Large,Mixed Breed Dogs,16 to 18 inches,43.18,35 to 65 pounds ,50,22.5,9 to 11 years ,10,2.6,4,2,3,3,1,1,2.33,3,2,2,2,3.6,4,3,4,3,4,3,2.6,3,2,4,2,2,1,2,2,2,2,2,https://www.dogtime.com/assets/uploads/2020/03/bull-pei-mixed-dog-breed-pictures-cover-650x368.jpg
Bull Terrier,Very Large,Terrier Dogs,21 to 22 inches tall at the shoulder,54.61,35 to 75 pounds,55,24.75,10 to 15 years,12,3,4,3,5,2,1,4,4.67,5,5,4,5,3.6,3,1,5,4,5,2,3.6,5,4,4,4,1,5,4.67,4,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23060_bull-terrier-300x189.jpg
Bullador,Very Large,Mixed Breed Dogs,17 to 20 inches ,46.99,50 to 90 pounds,69,31.5,10 to 12 years ,11,2.4,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,3,5,4,3.6,4,4,2,4,4,3,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2020/02/bullador-mixed-dog-breed-pictures-cover-650x368.jpg
Bullboxer Pit,Very Large,Mixed Breed Dogs,16 to 20 inches,45.72,50 to 80 pounds,64,29.25,10 to 14 years,12,2,1,2,3,2,2,2,3.33,4,4,2,2,4,4,4,4,4,4,3,3.8,2,4,4,5,4,3,5,5,5,5,4,https://www.dogtime.com/assets/uploads/2019/07/bullboxer-pit-mixed-dog-breed-pictures-cover-650x368.jpg
Bulldog,Very Large,Companion Dogs,12 to 15 inches tall at the shoulder,34.29,40 to 50 pounds,45,20.25,8 to 12 years,10,3.4,5,4,4,3,1,1,3.67,5,4,2,5,4.4,3,5,5,4,5,2,2.6,3,2,2,2,4,1,2.67,2,3,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23140_bulldog-300x189.jpg
Bullmastiff,Very Large,Working Dogs,24 to 27 inches at the shoulder,64.77,100 to 130 pounds,114,51.75,8 to 10 years,9,3,3,2,4,2,4,2,4.67,5,5,4,3,3.6,1,5,5,2,5,5,3.2,3,3,3,3,4,3,3,2,4,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_22918_bullmastiff-300x189.jpg
Bullmatian,Very Large,Mixed Breed Dogs,11 to 24 inches,44.45,41 to 65 pounds,53,23.85,8 to 12 years,10,2.2,2,1,3,3,2,2,4.33,4,5,4,3,3.4,2,3,4,4,4,3,2.6,1,4,3,3,2,3,4.33,5,4,4,4,https://www.dogtime.com/assets/uploads/2019/07/bullmation-mixed-dog-breed-pictures-cover-650x368.jpg
Cairn Terrier,Medium,Terrier Dogs,9 to 10 inches tall at the shoulder,24.13,13 to 14 pounds,13,6.08,12 to 15 years,14,3.4,5,4,3,1,4,4,4.67,5,5,4,4,3.2,3,1,5,4,3,1,3.6,2,5,3,4,4,3,4.33,5,4,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23062_cairn-terrier-300x189.jpg
Canaan Dog,Very Large,Herding Dogs,19 to 24 inches tall at the shoulder,54.61,35 to 55 pounds,45,20.25,12 to 15 years,14,3.2,4,2,4,3,3,5,3,4,2,3,2,3.4,4,1,5,5,2,3,3.6,5,4,3,3,3,2,3.33,4,3,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23184_canaan-dog-300x189.jpg
Cane Corso,Very Large,Working Dogs,23 inches to 27 inches tall at the shoulder,63.5,90 to 120 pounds,104,47.25,10 to 12 years,11,1.8,1,1,3,1,3,4,3,4,2,3,2,3.8,3,4,5,3,4,4,3.8,4,5,2,5,3,2,4,4,3,5,2,https://www.dogtime.com/assets/uploads/2014/08/file_23300_cane-corso-dog-breed-650x410.jpg
Cardigan Welsh Corgi,Large,Herding Dogs,10 inches to 12 inches tall at the shoulder,27.94,25 to 38 pounds,31,14.18,12 to 15 years,14,3.8,4,4,4,3,4,3,4,5,4,3,3,3.2,4,1,3,4,4,2,3.8,4,5,2,4,4,3,3,3,3,3,4,https://www.dogtime.com/assets/uploads/2011/11/file_23294_cardigan-welsh-corgi-300x189.jpg
Carolina Dog,Large,Hound Dogs,18 to 20 inches at the shoulder,48.26,33 to 55 pounds,44,19.8,12 to 15 years,14,2.2,2,2,2,1,4,4,3.33,2,3,5,2,3.8,4,2,4,5,4,3,2.8,2,4,2,5,1,3,4.33,4,5,4,3,https://www.dogtime.com/assets/uploads/2020/04/carolina-dog-breed-pictures-cover-650x368.jpg
Catahoula Bulldog,Very Large,Mixed Breed Dogs,24 to 26 inches,63.5,75 to 100 pounds,87,39.38,10 to 14 years,12,1.6,1,1,2,3,1,5,3,4,3,2,1,2.8,1,1,5,4,3,4,3.4,2,3,4,5,3,3,5,5,5,5,4,https://www.dogtime.com/assets/uploads/2019/08/catahoula-bulldog-mixed-breed-pictures-cover-650x368.jpg
Catahoula Leopard Dog,Very Large,Herding Dogs,20 to 26 inches tall at the shoulder,58.42,50 to 90 pounds,69,31.5,10 to 14 years,12,1.8,1,1,2,2,3,3,3,5,3,1,1,3,3,1,5,3,3,4,2.4,2,3,3,1,3,3,4,4,3,5,2,https://www.dogtime.com/assets/uploads/2011/01/file_23278_catahoula-leopard-dog-300x189.jpg
Caucasian Shepherd Dog,Very Large,Working Dogs,24 to 34 inches,73.66,80 to 220 pounds,149,67.5,10 to 12 years,11,2.6,2,1,2,3,5,2,2.67,4,2,2,2,3.4,4,4,2,3,4,5,3.2,2,4,4,3,3,2,2.67,2,4,2,3,https://www.dogtime.com/assets/uploads/2018/01/caucasian-shepherd-dog-breed-pictures-cover-650x369.jpg
Cav-a-Jack,Medium,Mixed Breed Dogs,10 to 17 inches,34.29,13 to 18 pounds,15,6.98,12 to 17 years,14,3,4,4,3,1,3,3,4,4,4,4,4,3,2,2,4,3,4,2,3.6,4,4,3,4,3,3,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2019/10/cav-a-jack-mixed-dog-breed-pictures-cover-650x368.jpg
Cavachon,Large,Mixed Breed Dogs,12 to 13 inches ,31.75,15 to 35 pounds ,25,11.25,10 to 15 years ,12,3.8,5,5,5,1,3,3,5,5,5,5,5,2.6,2,1,2,4,4,2,3.6,4,4,3,4,3,2,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2019/08/cavachon-mixed-dog-breed-pictures-cover-650x368.jpg
Cavador,Large,Mixed Breed Dogs,18 to 24 inches,53.34,22 to 55 pounds,38,17.32,10 to 14 years,12,3.4,3,5,4,2,3,3,4.67,5,5,4,3,3.4,3,2,4,4,4,3,3.2,4,4,2,3,3,3,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2019/08/cavador-mixed-dog-breed-pictures-cover-650x368.jpg
Cavalier King Charles Spaniel,Medium,Companion Dogs,12 to 13 inches at the shoulder,31.75,13 to 18 pounds,15,6.98,9 to 15 years,12,3.8,5,5,5,1,3,2,5,5,5,5,5,3.2,3,1,4,4,4,2,3.2,4,4,3,3,2,2,3,3,2,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23100_cavalier-king-charles-spaniel-300x189.jpg
Cavapoo,Medium,Mixed Breed Dogs,9 to 14 inches,29.21,9 to 25 pounds,17,7.65,12 to 15 years,14,3,3,3,3,2,4,3,4.67,5,5,4,4,2.6,2,1,3,3,4,2,3.2,4,4,3,3,2,3,2.67,3,2,3,5,https://www.dogtime.com/assets/uploads/2019/08/cavapoo-mixed-dog-breed-pictures-cover-650x368.jpg
Central Asian Shepherd Dog,Very Large,Working Dogs,24 to 28 inches,66.04,88 to 110 pounds ,98,44.55,12 to 15 years ,14,2.6,1,1,4,2,5,2,3.33,3,3,4,2,4.4,4,5,5,5,3,4,2.6,2,5,2,1,3,2,3.33,3,3,4,2,https://www.dogtime.com/assets/uploads/2020/06/central-asian-shepherd-dog-breed-pictures-cover-650x368.jpg
Cesky Terrier,Medium,Terrier Dogs,10 to 13 inches tall at the shoulder,29.21,13 to 30 pounds,21,9.68,10 to 15 years,12,3.8,5,4,4,3,3,3,3.33,5,3,2,3,3,1,1,4,5,4,2,3,4,3,3,2,3,3,2.67,2,3,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_23270_cesky-terrier-dog-breed-300x189.jpg
Chabrador,Very Large,Mixed Breed Dogs,18 to 24 inches,53.34,45 to 80 pounds,62,28.12,9 to 13 years,11,3.4,4,2,4,3,4,1,3.33,4,4,2,2,3.6,4,3,4,4,3,3,3.4,2,4,4,4,3,3,3.33,3,4,3,4,https://www.dogtime.com/assets/uploads/2019/08/chabrador-mixed-dog-breed-pictures-cover-650x368.jpg
Cheagle,Medium,Mixed Breed Dogs,9 to 14 inches ,29.21,9 to 20 pounds ,14,6.52,10 to 14 years ,12,2.8,4,4,4,1,1,2,3.67,5,3,3,2,3.2,3,1,5,3,4,2,3.4,2,4,3,4,4,3,3.67,4,4,3,4,https://www.dogtime.com/assets/uploads/2019/07/cheagle-mixed-dog-breed-pictures-cover-650x368.jpg
Chesapeake Bay Retriever,Very Large,Sporting Dogs,21 inches to 26 inches tall at the shoulder,59.69,55 to 80 pounds,67,30.38,10 to 12 years,11,2.2,1,1,3,2,4,4,3,5,3,1,1,4.2,5,3,5,4,4,3,3.2,3,4,3,3,3,4,5,5,5,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_22958_chesapeake-bay-retriever-300x189.jpg
Chi Chi,Small,Mixed Breed Dogs,5 to 12 inches,21.59,4 to 11 pounds,7,3.38,11 to 20 years,16,2.8,4,2,4,2,2,3,2.67,3,3,2,3,3,2,1,4,4,4,2,3.4,3,4,3,3,4,2,3.67,4,4,3,4,https://www.dogtime.com/assets/uploads/2020/01/chi-chi-mixed-dog-breed-pictures-cover-650x368.jpg
Chi-Poo,Medium,Mixed Breed Dogs,5 to 15 inches ,25.4,5 to 20 pounds ,12,5.62,12 to 15 years ,14,4.2,5,5,5,4,2,3,4.33,5,5,3,3,2.2,2,1,3,2,3,2,3.8,5,5,3,3,3,3,2.33,3,2,2,4,https://www.dogtime.com/assets/uploads/2019/08/chi-poo-mixed-dog-breed-pictures-cover-650x368.jpg
Chigi,Medium,Mixed Breed Dogs,7 to 12 inches,24.13,10 to 20 pounds,15,6.75,12 to 14 years ,13,3.4,3,4,5,2,3,2,4,5,5,2,2,3.2,4,1,5,3,3,1,3,4,4,2,3,2,3,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2020/01/chigi-mixed-dog-breed-pictures-cover-650x368.jpg
Chihuahua,Very Small,Companion Dogs,6 inches to 9 inches tall at the shoulder,19.05,3 to 6 pounds,4,2.02,10 to 18 years,14,3.2,5,4,5,1,1,2,4,5,5,2,2,2.6,2,1,5,2,3,1,3.4,4,4,3,3,3,2,2,3,2,1,4,https://www.dogtime.com/assets/uploads/2011/01/file_23102_chihuahua-300x189.jpg
Chilier,Small,Mixed Breed Dogs,8 to 12 inches,25.4,6 to 12 pounds,9,4.05,12 to 16 years,14,2.8,4,2,4,2,2,2,4,4,4,4,3,3.2,2,3,4,4,3,2,3,2,4,3,3,3,2,3.67,4,4,3,4,https://www.dogtime.com/assets/uploads/2019/10/chilier-mixed-dog-breed-pictures-cover-650x368.jpg
Chinese Crested,Medium,Companion Dogs,11 to 13 inches tall at the shoulder,30.48,Up to 12 pounds,12,5.4,10 to 14 years,12,3,5,3,5,1,1,3,4.33,4,5,4,4,2.4,2,1,2,5,2,2,3.4,4,3,4,3,3,1,1.67,2,1,2,3,https://www.dogtime.com/assets/uploads/2011/01/file_23104_17524831-300x189.jpg
Chinese Shar-Pei,Very Large,Working Dogs,18 to 20 inches tall at the shoulder,48.26,40 to 55 pounds,47,21.38,8 to 12 years,10,2.8,4,2,2,4,2,1,1.67,2,2,1,2,2.8,2,2,5,1,4,3,3.4,3,2,5,2,5,2,2,2,1,3,1,https://www.dogtime.com/assets/uploads/2011/01/file_23142_chinese-shar-pei-300x189.jpg
Chinook,Very Large,Working Dogs,21 to 27 inches tall at the shoulder,60.96,55 to 70 pounds,62,28.12,12 to 15 years,14,3.2,4,1,5,1,5,4,5,5,5,5,4,3,5,1,2,4,3,4,3.2,4,5,3,2,2,2,3,3,3,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23232_chinook-300x189.jpg
Chion,Small,Mixed Breed Dogs,5 to 11 inches,20.32,4 to 11 pounds,7,3.38,10 to 15 years,12,2.8,4,3,3,2,2,3,3.67,5,3,3,2,3,2,2,3,4,4,2,3.4,3,3,4,3,4,1,3,4,3,2,4,https://www.dogtime.com/assets/uploads/2020/01/chion-mixed-dog-breed-pictures-cover-650x368.jpg
Chipin,Small,Mixed Breed Dogs,8 to 12 inches ,25.4,5 to 15 pounds ,10,4.5,10 to 14 years ,12,3.2,5,4,5,1,1,2,3.67,5,4,2,2,3,2,1,5,3,4,1,2.8,4,3,2,3,2,3,3,4,3,2,5,https://www.dogtime.com/assets/uploads/2019/07/chipin-mixed-dog-breed-pictures-cover-650x368.jpg
Chiweenie,Small,Mixed Breed Dogs,6 to 10 inches,20.32,5 to 12 pounds,8,3.82,12 to 16 years,14,3,5,3,4,2,1,4,3,4,2,3,2,2.8,1,1,5,3,4,1,3.2,2,4,2,3,5,2,3.33,4,2,4,5,https://www.dogtime.com/assets/uploads/2019/07/chiweenie-mixed-dog-breed-pictures-cover-650x368.jpg
Chorkie,Small,Mixed Breed Dogs,6 to 9 inches ,19.05,8 to 15 pounds ,11,5.18,12 to 15 years ,14,3.4,5,5,5,1,1,2,3.33,4,3,3,2,2.2,2,1,3,3,2,1,2.8,3,3,2,2,4,2,3.33,4,3,3,5,https://www.dogtime.com/assets/uploads/2020/01/chorkie-mixed-dog-breed-pictures-cover-650x368.jpg
Chow Chow,Very Large,Working Dogs,17 to 20 inches tall at the shoulder,46.99,40 to 70 pounds,55,24.75,12 to 15 years,14,3.4,3,2,2,5,5,2,1.33,2,1,1,1,2.2,1,3,1,2,4,4,2.2,2,1,5,2,1,2,2,2,2,2,1,https://www.dogtime.com/assets/uploads/2011/01/file_23144_chow-chow-300x189.jpg
Chow Shepherd,Very Large,Mixed Breed Dogs,22 to 26 inches,60.96,45 to 90 pounds ,67,30.38,12 to 15 years ,14,3.2,3,2,4,2,5,4,2.67,3,3,2,2,2.6,5,2,1,3,2,4,2.8,3,3,3,3,2,3,4.67,5,4,5,4,https://www.dogtime.com/assets/uploads/2020/01/chow-shepherd-mixed-dog-breed-pictures-cover-650x368.jpg
Chug,Medium,Mixed Breed Dogs,10 to 14 inches,30.48,10 to 20 pounds,15,6.75,10 to 13,12,3.2,5,3,3,3,2,3,4,5,4,3,3,3.6,4,2,4,4,4,1,2.6,3,3,3,2,2,2,3.33,4,3,3,4,https://www.dogtime.com/assets/uploads/2019/07/chug-mixed-dog-breed-pictures-cover-650x368.jpg
Chusky,Very Large,Mixed Breed Dogs,18 to 23 inches,52.07,40 to 65 pounds,52,23.62,10 to 13 years,12,3,2,2,3,3,5,2,3.67,4,4,3,3,3,5,2,2,3,3,3,3.4,3,4,3,3,4,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/08/chusky-mixed-dog-breed-pictures-cover-650x368.jpg
Cirneco dell’Etna,Medium,Companion Dogs,17 to 20 inches,46.99,17 to 26 pounds,21,9.68,12 to 14 years,13,3.2,4,3,3,3,3,3,4.67,5,5,4,3,2.8,2,1,4,5,2,3,3,3,3,2,4,3,1,3,4,2,3,4,https://www.dogtime.com/assets/uploads/2019/12/Cirneco-dellEtna-dog-breed-pictures-cover-650x368.jpg
Clumber Spaniel,Very Large,Sporting Dogs,17 inches to 20 inches tall at the shoulder,46.99,55 to 85 pounds,69,31.5,12 to 12 years,12,4.2,5,5,4,2,5,2,4,5,3,4,3,3.6,5,5,1,2,5,3,3.6,4,3,5,5,1,4,2,3,1,2,5,https://www.dogtime.com/assets/uploads/2011/01/file_22960_clumber-spaniel-300x189.jpg
Cockalier,Medium,Mixed Breed Dogs,12 to 15 inches,34.29,10 to 28 pounds,19,8.55,12 to 15 years,14,3.2,4,4,4,2,2,2,4.67,5,5,4,3,2.8,2,1,4,4,3,2,3,4,4,2,3,2,2,3.33,4,2,4,5,https://www.dogtime.com/assets/uploads/2019/10/cockalier-mixed-dog-breed-picture-cover-650x368.jpg
Cockapoo,Medium,Hybrid Dogs,From under 10 to over 15 inches tall at the shoulder,31.75,From under 6 to over 19 pounds,12,5.62,12 to 15 years,14,4,4,5,4,3,4,4,4.67,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,3,3,3,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_23218_cockapoo-dog-breed-300x189.jpg
Cocker Spaniel,Large,Sporting Dogs,14 inches to 15 inches tall at the shoulder,36.83,24 to 28 pounds,26,11.7,12 to 15 years,14,3.6,5,3,5,1,4,3,4,5,3,4,3,2.6,3,1,1,4,4,2,4.2,5,4,4,5,3,4,3,4,2,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_22962_cocker-spaniel-300x189.jpg
Collie,Very Large,Herding Dogs,22 to 26 inches all at the shoulder,60.96,50 to 70 pounds,60,27,10 to 14 years,12,3.6,3,4,5,2,4,3,4.67,5,5,4,4,2.8,5,1,2,3,3,3,3.8,4,4,3,4,4,1,2.67,3,2,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23186_collie-300x189.jpg
Corgi Inu,Medium,Mixed Breed Dogs,9 to 15 inches,30.48,17 to 27 pounds,22,9.9,12 to 15 years,14,3.4,4,3,3,3,4,2,3,3,3,3,2,3,5,2,2,3,3,2,3.4,4,4,3,3,3,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/08/corgi-inu-mixed-dog-breed-pictures-cover-650x368.jpg
Corgidor,Very Large,Mixed Breed Dogs,12 to 23 inches ,44.45,40 to 55 pounds ,47,21.38,10 to 15 years ,12,3,3,2,4,3,3,3,4,5,4,3,4,3.8,5,2,4,4,4,3,3.4,4,5,3,3,2,3,4,5,3,4,5,https://www.dogtime.com/assets/uploads/2019/07/corgidor-mixed-dog-breed-pictures-cover-650x368.jpg
Corman Shepherd,Very Large,Mixed Breed Dogs,12 to 15 inches,34.29,20 to 70 pounds,45,20.25,10 to 15 years,12,2.8,2,2,3,3,4,3,4,4,4,4,3,3.4,5,2,3,3,4,3,3.6,4,5,3,3,3,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/11/corman-shepherd-mixed-dog-breed-pictures-cover-650x368.jpg
